FilerEIN,TaxYear,FormAndLineReferenceDesc,ExplanationTxt
208295721,2018,Part 1 Line 2,"It is the policy of UPMC to contribute financial support to tax exempt organizations and agencies that support the upmc mission and strengthen the health and quality of life of those who live and work in the communities we serve. UPMC makes certain support payments to the University of Pittsburgh (EIN 25-0965591) under an affiliation agreement between the two organizations for the purpose of furthering their joint educational and research mission. The total of this support for the Fiscal Year ending June 30, 2019 inclusive of amounts reported above and inclusive of amounts paid by all UPMC entities is in excess of $ 203M."
208295721,2018,Part II,Assistance provided to entities that are not section 501(C)(3) organizations are provided to support charitable initiatives that these organizations had undertaken.
264436716,2018,Part III Line 3,"Funds represent the direct cost of assisting youth in our care, not a disbursement of funds to individuals."
941196203,2018,"Part I, line 1","INCLUDED IN PART II ABOVE IS $5,108,382 RELATED TO The Dignity Health Community Grants program. THIS PROGRAM IS one way in which Dignity Health supports and enhances the advocacy, social justice and healthier communities efforts of its hospitals and the religious sponsors of our Catholic hospitals. Begun in 1990, the program's initial objectives were: (1) to strengthen the bonds among our member hospitals; and (2) to partner with other nonprofit organizations that share our values and work to improve the health status and quality of life in the communities we serve. Each of the grant recipients is required to submit an annual accountability report to Dignity Health. The reports reflect activities performed, objectives, and outcomes reached by the grant recipients. All organizations that apply for these grants are required to be 501(c)(3) organizations. OTHER GRANTS ARE PROVIDED BY Dignity Health (AND ITS MEMBER HOSPITALS) TO NOT-FOR-PROFIT ORGANIZATIONS THAT FURTHER Dignity Health's EXEMPT PURPOSE. GRANTS ARE ALSO PROVIDED TO THE FUNDRAISING FOUNDATIONS THAT SUPPORT Dignity Health AND ITS MEMBER HOSPITALS TO FUND THE OPERATIONS OF THOSE FOUNDATIONS. Several grants are provided to other organizations in which Dignity Health supports community effort, and for operational support of the medical foundation and clinics. In addition, grants are provided to individuals, primarily patients, due to financial need or urgent, unforeseen occurrences requiring immediate action. Examples of assistance include pharmacy costs, room and board/lodging and sheltered meals for indigent patients. The grants are approved by the hospital's Administration department or a designated committee."
941196203,2018,Part II,"$8,939,537 IN GRANT PAYMENTS TO THE CALIFORNIA HEALTH FOUNDATION AND TRUST, A 501(C)(3) PUBLIC BENEFIT CHARITY ESTABLISHED TO SPONSOR AND SUPPORT HEALTH CARE, WERE RECOGNIZED IN CONNECTION WITH THE CALIFORNIA PROVIDER FEE PROGRAMS IN FISCAL YEAR 2019. $5,441,500 IN GRANT PAYMENTS WERE PROVIDED TO THE UNIVERSITY OF ARIZONA, A GOVERNMENT INSTITUTION, TO SUPPORT THE DEVELOPMENT OF EDUCATION, TRAINING AND CLINICAL RESEARCH PROGRAMS. $11,400,000 IN GRANT PAYMENTS WERE PROVIDED TO THE ARIZONA STATE UNIVERSITY, A GOVERNMENT INSTITUTION, TO SUPPORT THE EDUCATION, TRAINING AND RESEARCH IN THE ADVANCEMENT OF IMAGING TECHNOLOGY AND DESIGN, BUILDING A HEALTHY CLINICAL FORCE AND ADVANCING THE UNDERSTANDING OF IMMUNOLOGY IN TRANSPLANTATION MEDICINE."
431486035,2018,"SCHEDULE I, PAGE 1, PART I, LINE 2","DESK AND ON-SITE MONITORING VISITS, WRITTEN POLICY AND PROCEDURE, ANNUAL REPORTS. PERIODIC AUDITFROM STATE AUDITOR, LAST COMPLETED 9/2019, MONTHLY FINANCIAL REPORTING WITH BOARD APPROVAL."
900265283,2018,Grantmaker's Description of How Grants are Used,Each school Parent Teacher Organization works closely with its school through parent and teacher interaction. The needs of the school are determined by the parents and teachers. The approved funding is voted on by the organization. The parents and teachers are active participants in the use of the funds.
133028060,2018,"PART I, LINE 2:",GRANTEES EXECUTE A WRITTEN AGREEMENT WHICH REQUIRES THEM TO SUBMIT WRITTEN REPORTS TO OSILT FOR THE PERIOD OF THE AGREEMENT.
742393839,2018,Grantmaker's Description of How Grants are Used,"THE ORGANIZATION MONITORS THE USE OF GRANT FUNDS IN THE UNITED STATES BY RECEIVING AND REVIEWING APPLICATIONS FOR SELECTION, AS WELL AS WRITING CHECKS DIRECTLY TO THE APPROPRIATE UNIVERSITY TO ENSURE THAT SUCH GRANTS ARE USED FOR PROPER PURPOSES AND ARE NOT OTHERWISE DIVERTED FROM THE INTENDED USE."
530115655,2018,"PART I, LINE 2:",GRANTS ARE PARTIALLY DISTRIBUTED TO RECIPIENTS AND THEN GRANT RECIPIENTS PROVIDE DOCUMENTATION REGARDING THE WORK COMPLETED BEFORE RECEIVING THE REMAINING GRANT AMOUNT.
941461312,2018,"PART I, LINE 2:","THE ORGANIZATION AWARDS GRANTS AND PROVIDES OTHER ASSISTANCE THROUGH CONTRIBUTIONS AND/OR SPONSORSHIPS FOR PROGRAMS THAT FOSTER DENTAL HEALTH AND EDUCATION, AS WELL AS COMMUNITY SUPPORT. THROUGH THESE GRANTS, CONTRIBUTIONS AND SPONSORSHIPS, THE ORGANIZATION HELPS FINANCE HEALTH, EDUCATION, AND RESEARCH PROJECTS IN DENTISTRY, HEALTH AND HUMAN SERVICES, AND CIVIC AND/OR COMMUNITY ACTIVITIES. INDIVIDUAL GRANTS, CONTRIBUTIONS AND/OR SPONSORSHIPS WILL GENERALLY NOT EXCEED $100,000 WITH EXCEPTION OF THE CONTRIBUTION MADE TO THE DELTA DENTAL COMMUNITY CARE FOUNDATION. GRANTS WILL BE LIMITED TO ONE-YEAR PROJECTS, SUBJECT TO RENEWAL. EXCEPT IN SPECIAL CASES, AN ORGANIZATION/ENTITY WILL NOT BE ELIGIBLE FOR MORE THAN ONE GRANT DURING ANY YEAR."
870409820,2018,"PART I, LINE 2:","BY WRITTEN POLICY, GRANTS ARE GENERALLY LIMITED TO ORGANIZATIONS EXEMPT FROM INCOME TAX UNDER IRC SECTION 501(C)(3) FOR PURPOSES OF IMPROVING HEALTH AND/OR HEALTHCARE AND HUMAN SERVICES OR TO STRENGTHEN THE LOCAL COMMUNITY. THE LEVEL OF APPROVAL REQUIRED FOR A GIVEN GRANT IS DETERMINED BY THE AMOUNT. DEVIATIONS FROM THE POLICY REQUIRE APPROVAL BY THE EXECUTIVE COMMITTEE OF THE BOARD OF TRUSTEES. POTENTIAL GRANT RECIPIENTS ARE CAREFULLY REVIEWED PRIOR TO RECEIVING ANY FUNDS FROM SELECTHEALTH TO HELP ENSURE THAT THE GRANTS WILL BE USED FOR PROPER PURPOSES AND WILL NOT BE DIVERTED FROM THEIR INTENDED USE."
453358926,2017,"Schedule I, Part I, Line 2 Procedures for monitoring use of grant funds.","Applications are compiled at System Office and sent to a Committee who reads and scores them on a set of criteria that are delineated in the application. The Committee discusses the religious and general merits of each application in relation to the mission of Ascension Health Alliance and makes the final decisions of grants to be awarded. Grants are made to religious and charitable organizations whose work supports the mission, vision, and values of Ascension Health Alliance, Ascension Sponsor and other supported organizations."
431341372,2017,"PART I, LINE 2:",THE MISSOURI TECHNOLOGY CORPORATION REQUIRES ALL GRANTEES TO PERIODICALLY PROVIDED WRITTEN NARRATIVE AND FINANCIAL REPORTS DESCRIBING USE OF GRANT FUNDING. REPORTS ARE REVIEWED BY MISSOURI TECHNOLOGY CORPORATION STAFF FOR COMPLIANCE.
521344831,2017,"PART I, LINE 2:","THE NATIONAL ENDOWMENT FOR DEMOCRACY MAINTAINS A COMPLIANCE DEPARTMENT WHOSE MISSION IS TO PROMOTE THE ACCOUNTABILITY OF ENDOWMENT FUNDS PROVIDED TO GRANTEES BOTH IN THE U.S. AND AROUND THE WORLD. THE COMPLIANCE DEPARTMENT IMPLEMENTS AN AUDIT STRATEGY THAT BEGINS WITH THE REQUIRED COMPLETION AND SUBMISSION BY GRANTEES OF A COMPREHENSIVE FINANCIAL QUESTIONNAIRE, WHICH IS USED BY THE COMPLIANCE DEPARTMENT, IN PART, TO DEVELOP RISK ASSESSMENTS AND THEN TO FORMULATE SPECIFIC AUDIT MONITORING PROCEDURES FOR INDIVIDUAL GRANTEES. AUDIT MONITORING PROCEDURES INCLUDE INVOICE VERIFICATION REVIEWS, DAILY TRANSACTION LEDGER REVIEWS, DESK REVIEWS, MAINTAINING AUDIT LOGS, REVIEW OF FEDERAL SINGLE AUDIT COMPLIANCE AND OTHER GRANTEE AUDIT REPORTS, CONDUCTING ON-SITE FINANCIAL REVIEWS, AND ENGAGING INDEPENDENT PUBLIC ACCOUNTANTS TO PERFORM AUDIT PROCEDURES FOR CERTAIN GRANTEES. APPROPRIATE FOLLOW-UP PROCEDURES, INCLUDING REVIEW OF CORRECTIVE ACTION PLANS, ARE PERFORMED AS PART OF THE OVERALL AUDIT STRATEGY."
351044585,2017,"PART I, LINE 2:","THE SOLE RECIPIENT OF GRANTS AND SUPPORT IS ST. JUDE CHILDREN'S RESEARCH HOSPITAL, INC. ALSAC IS THE FUNDRAISING AND AWARENESS ORGANIZATION FOR ST. JUDE CHILDREN'S RESEARCH HOSPITAL, INC. ALSAC EXISTS SOLELY TO RAISE FUNDS AND BUILD AWARENESS TO SUSTAIN THE MISSION OF ST. JUDE. IT COSTS MORE THAN $1 BILLION TO OPERATE ST. JUDE, AND MORE THAN 75 PERCENT OF ST. JUDE'S OPERATING BUDGET IS COVERED BY GENEROUS DONORS WHO SUPPORT THE LIFE-SAVING MISSION OF ST. JUDE."
593652538,2017,"PART I, LINE 2:","THE RJCEF DETERMINES GRANT QUALIFICATION AS FOLLOWS: 1) DONORS ARE PERMITTED TO SUBMIT A NON-BINDING, WRITTEN GRANT REQUEST TO THE RJCEF BOARD. THE RJCEF BOARD HAS DELEGATED TO RAYMOND JAMES TRUST, NA THE AUTHORITY TO MAKE GRANTS THAT MEET THE FOLLOWING CRITERIA: --THE MINIMUM GRANT IS $250 --THE ORGANIZATION RECEIVING THE GRANT MUST BE A U.S. PUBLIC CHARITY OR GOVERNMENTAL UNIT --THE GRANT MUST BE EXCLUSIVELY IN FURTHERANCE OF THE CHARITABLE ENTITY'S EXEMPT PURPOSE --THE GRANT MAY NOT CONFER A PRIVATE BENEFIT ON THE RJCEF DONOR 2) THE RJCEF CONFIRMS THAT THE ORGANIZATION TO RECEIVE THE GRANT IS, IN FACT, ELIGIBLE BY TAKING ONE OR MORE OF THE FOLLOWING STEPS, DEPENDING ON CIRCUMSTANCES, 1) REVIEWING IRS EXEMPT ORGANIZATION SELECT CHECK, 2) REQUESTING A COPY OF THE ORGANIZATION'S IRS DETERMINATION LETTER OR AUDITED FINANCIAL STATEMENTS, 3) REQUESTING A COPY (OR REVIEWING VIA AN INTERNET WEB SITE) THE ORGANIZATION'S FORM 990. 3) THE RJCEF NOTIFIES THE GRANT RECIPIENT THAT ACCEPTANCE OF THE GRANT IS CONDITIONED UPON AN AGREEMENT NOT TO USE THE GRANT TO PROVIDE AN IMPERMISSIBLE BENEFIT TO THE RJCEF DONOR, DONOR ADVISER OR OTHER THIRD PARTY. 4) DEPENDING ON CIRCUMSTANCES THE BOARD MAY TAKE SUCH OTHER STEPS, AS IT DEEMS NECESSARY PRIOR TO APPROVING A GRANT. 5) THE RJCEF DOES NOT MAKE GRANTS TO PRIVATE NON-OPERATING FOUNDATIONS OR INDIVIDUALS."
880361875,2017,"PART I, LINE 2:",FUNDS WERE GIVEN TO RECOGNIZE OUTSTANDING TEACHERS AND SCHOOLS WITHIN THE CLARK COUNTY SCHOOL DISTRICT.
364724966,2017,"Schedule I, Part III, Column (b) Number of recipients",The number of scholarship recipients is known. For the other types of assistance to domestic individuals the number of recipients benefiting was estimated based on an average or typical amount of assistance provided.
